Car_Name,Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner,Car_Age,Selling_Price_log,Present_Price_log,Driven_kms_log
ritz,3.35,5.59,27000,Petrol,Dealer,Manual,0,12,1.4701758451005926,1.8855533485144158,10.203629181337648
sx4,4.75,9.54,43000,Diesel,Dealer,Manual,0,13,1.749199854809259,2.355177543113216,10.668978650219241
ciaz,7.25,9.85,6900,Petrol,Dealer,Manual,0,9,2.1102132003465894,2.3841650799864684,8.839421607620602
wagon r,2.85,4.15,5200,Petrol,Dealer,Manual,0,15,1.3480731482996928,1.6389967146756448,8.556606193773073
swift,4.6,6.87,42450,Diesel,Dealer,Manual,0,12,1.7227665977411035,2.063058062429312,10.65610574858806
vitara brezza,9.25,9.83,2071,Diesel,Dealer,Manual,0,8,2.327277705584417,2.382320061012899,7.6362696033793735
ciaz,6.75,8.12,18796,Petrol,Dealer,Manual,0,11,2.0476928433652555,2.21046980408624,9.841452561616595
s cross,6.5,8.61,33429,Diesel,Dealer,Manual,0,11,2.0149030205422647,2.262804222982201,10.417208979414145
ciaz,8.75,8.89,20273,Diesel,Dealer,Manual,0,10,2.277267285009756,2.2915241456346207,9.917094555942345
ciaz,7.45,8.92,42367,Diesel,Dealer,Manual,0,11,2.134166441369082,2.2945529212967815,10.65414863929668
alto 800,2.85,3.6,2135,Petrol,Dealer,Manual,0,9,1.3480731482996928,1.5260563034950492,7.666690200080086
ciaz,6.85,10.38,51000,Diesel,Dealer,Manual,0,11,2.060513531794317,2.431857428698185,10.839600519357369
ciaz,7.5,9.94,15000,Petrol,Dealer,Automatic,0,11,2.1400661634962708,2.392425796993835,9.61587214452889
ertiga,6.1,7.71,26000,Petrol,Dealer,Manual,0,11,1.9600947840472698,2.1644717908644115,10.165890277802454
dzire,2.25,7.21,77427,Petrol,Dealer,Manual,0,17,1.1786549963416462,2.105352923464337,11.257103751265436
ertiga,7.75,10.79,43000,Diesel,Dealer,Manual,0,10,2.169053700369523,2.4672517145492794,10.668978650219241
